,username,verified,topic2,topic4,topic13,topic26,topic54
198,@BennySwish,0,0,0,0,1,0
199,@madmnmom,0,0,0,0,0,0
200,@PissedOffDr,0,0,0,0,0,0
201,@LBT_Animosity,0,0,0,0,0,0
202,@LeeMossNP,0,1,0,0,0,0
203,@wiredinhi,0,0,0,0,0,0
204,@meganpwilliams,0,1,0,0,0,0
205,@RyanPTravis,0,0,0,0,0,0
206,@healthcarehi,0,0,0,0,0,0
207,@GlynnSTEM,0,0,0,0,0,0
208,@BeAnExample,0,0,0,0,0,0
209,@AndrewResist15,0,1,0,0,0,0
210,@Iwishiwassmart2,0,0,0,0,0,0
211,@AnonymousFlaw,0,0,0,0,0,0
212,@MikeTre48116035,0,0,0,0,0,0
213,@pacurn4x4,0,0,1,0,0,0
214,@MarkMck13926292,0,0,0,0,0,0
215,@the_Neb,0,0,0,0,0,0
216,@jlsHouston,0,0,0,0,0,0
217,@4annegs,0,1,0,0,0,0
218,@KRISTINAKAY,0,0,0,0,0,0
219,@sitedenied,0,1,0,0,0,0
220,@JoeBailey8,0,0,0,0,0,0
221,@jcamillegray,0,0,0,0,0,0
222,@shelldash,0,0,0,0,0,0
223,@LosAngelesFires,0,0,0,0,0,0
224,@JamieCryan,0,1,0,0,0,0
225,@derby62sks,0,0,0,0,0,0
226,@Matty8585,0,0,0,0,0,0
227,@Lindasantangel1,0,0,0,0,0,0
228,@EntCritic,0,0,0,0,0,0
229,@JuanaMarlins,0,0,0,0,0,0
230,@StanleyJames05,0,0,0,0,0,0
231,@THECOOKINMAMA,0,0,1,0,0,0
232,@Az49erGirl,0,0,0,0,0,0
233,@NicoleCattaruz1,0,0,0,0,0,0
234,@LuvAGoodYarn,0,0,0,1,0,0
235,@NOKR,0,0,0,0,0,0
236,@smanr24,0,0,0,0,0,0
237,@tra255,0,0,0,0,0,0
238,@SammyMaggio,0,0,0,0,1,0
239,@VLOHokie,0,0,0,0,0,0
240,@Thomassmallwood,0,0,0,0,0,0
241,@LEVEL_13,0,0,0,0,0,0
242,@Ringham7,0,0,0,0,0,0
243,@BeesThoughts1,0,0,0,0,0,0
244,@Jayunk12,0,0,0,0,0,0
245,@reggriffin,0,0,0,0,0,0
246,@RebeccaMIRELES9,0,0,0,0,0,0
247,@randysreden,0,0,0,0,0,0
248,@LoViLu,0,0,0,0,0,0
249,@richnoland1,0,0,0,0,0,0
250,@bigskygator,0,0,0,0,0,0
251,@prblock,0,0,0,0,0,0
252,@Gyrotric,0,0,0,0,0,0
253,@RLopez15thWard,0,1,0,0,0,0
254,@JoeySwiftieTx13,0,0,0,0,0,0
255,@drmomann,0,0,0,0,0,0
256,@R1ckterScale,0,0,0,0,0,0
257,@rockytop1972,0,0,0,0,0,0
258,@SANJOSEMAILMAN,0,0,0,0,0,0
259,@robdeleonjr,0,0,0,0,0,0
260,@justinabramsny,0,0,0,0,0,0
261,@HilaQu,0,0,0,0,0,0
262,@Schnauzer_tude,0,0,0,0,0,0
263,@DrSteveCook,0,0,0,0,0,0
264,@aaronggreen,0,0,0,0,0,0
265,@mbalter,0,0,0,0,0,0
266,@StretchJourno,0,0,0,0,0,0
267,@CommJacobs,0,0,0,0,0,0
268,@jack_goss2022,0,0,0,0,0,0
269,@debivino1961,0,0,0,0,0,0
270,@Saore,0,0,0,0,0,0
271,@alex_perdikis,0,0,0,0,0,0
272,@HenryLucero,0,0,0,0,0,0
273,@misskate1873,0,0,0,0,0,0
274,@drjerber,0,1,0,0,0,0
275,@Evangel12126,0,0,0,1,0,0
276,@KingWensel,0,0,0,0,0,0
277,@JanetDietrich,0,1,0,0,0,0
278,@OneCopaceticCAT,0,0,0,0,0,0
279,@CDarnall1,0,0,0,0,0,0
280,@NancyRolnikMD,0,0,0,0,0,0
281,@advocacyrss,0,0,0,0,0,0
282,@ericjawn,0,0,0,0,0,0
283,@anandrajk,0,0,0,0,0,0
284,@jdcor711,0,0,0,0,0,0
285,@colt745flockin1,0,0,0,0,0,0
286,@CoachByrdDog,0,0,0,0,0,0
287,@GerryBPass,0,0,0,0,0,0
288,@ChristophersKC,0,0,0,0,0,0
289,@MarshaP4416,0,0,0,0,0,0
290,@AnthonyMKreis,1,0,0,1,0,0
291,@CupstidJohn,0,0,0,0,0,0
292,@HenryELares,0,0,0,0,0,0
293,@ricksterlhp,0,0,0,0,0,0
294,@RealtorEstherJC,0,0,0,0,0,0
295,@WavesAreStars,0,0,0,0,0,0
296,@granger_md,0,0,1,0,0,0
297,@aycma2009,0,0,1,0,0,0
298,@frenchcori,0,0,0,0,0,0
299,@to_godsprincess,0,0,1,0,0,0
300,@BeastEverything,0,0,1,0,0,0
301,@dermatophyte,0,1,0,0,0,0
302,@DaysLeft4Trump,0,0,0,0,0,0
303,@AvaAubertin,0,0,0,0,0,0
304,@TheScottLove,0,1,0,0,0,0
305,@gswickes,0,0,1,0,0,0
306,@JeanieB57,0,0,0,0,0,0
307,@K_Staykova,0,0,0,1,0,0
